unit_name,lists_with_unit,percent_of_lists
Deathshrieker Rocket Battery,26,86.7
"Urak Taar, the First Daemonsmith",25,83.3
Infernal Cohort with Hashutite Spears,24,80.0
Ashen Elder,23,76.7
Bull Centaurs,21,70.0
Tormentor Bombard,18,60.0
Dominator Engine with Bane Maces,13,43.3
Infernal Razers with Blunderbusses,12,40.0
Daemonsmith on Infernal Taurus,10,33.3
Infernal Cohort with Hashutite Blades,10,33.3
Scourge of Ghyran War Despot,10,33.3
Hobgrotz Vandalz,9,30.0
Dominator Engine with Immolation Cannons,8,26.7
Daemonsmith,7,23.3
Anointed Sentinels,3,10.0
Scourge of Ghyran Infernal Cohort with Hashutite Blades,2,6.7
War Despot,1,3.3
Infernal Razers with Flamehurlers,1,3.3
War Despot (Scourge of Ghyran),1,3.3
