unit_name,unit_entries
Infernal Cohort with Hashutite Spears,25
Deathshrieker Rocket Battery,20
Bull Centaurs,16
"Urak Taar, the First Daemonsmith",14
Ashen Elder,14
Infernal Cohort with Hashutite Blades,10
Infernal Razers with Blunderbusses,10
Tormentor Bombard,9
Dominator Engine with Bane Maces,9
Dominator Engine with Immolation Cannons,8
Hobgrotz Vandalz,6
Daemonsmith on Infernal Taurus,5
Scourge of Ghyran War Despot,5
Daemonsmith,3
Anointed Sentinels,2
War Despot,1
Scourge of Ghyran Infernal Cohort with Hashutite Blades,1
Infernal Razers with Flamehurlers,1
