unit_name,model_count
Infernal Cohort with Hashutite Spears,370
Infernal Cohort with Hashutite Blades,160
Infernal Razers with Blunderbusses,100
Bull Centaurs,96
Hobgrotz Vandalz,80
Deathshrieker Rocket Battery,20
Scourge of Ghyran Infernal Cohort with Hashutite Blades,20
"Urak Taar, the First Daemonsmith",14
Ashen Elder,14
Anointed Sentinels,12
Infernal Razers with Flamehurlers,10
Tormentor Bombard,9
Dominator Engine with Bane Maces,9
Dominator Engine with Immolation Cannons,8
Daemonsmith on Infernal Taurus,5
Scourge of Ghyran War Despot,5
Daemonsmith,3
War Despot,1
