unit_name,lists_with_unit,percent_of_lists
"Urak Taar, the First Daemonsmith",14,87.5
Deathshrieker Rocket Battery,13,81.2
Ashen Elder,13,81.2
Infernal Cohort with Hashutite Spears,12,75.0
Bull Centaurs,11,68.8
Tormentor Bombard,9,56.2
Infernal Razers with Blunderbusses,7,43.8
Dominator Engine with Bane Maces,6,37.5
Hobgrotz Vandalz,5,31.2
Daemonsmith on Infernal Taurus,5,31.2
Infernal Cohort with Hashutite Blades,5,31.2
Scourge of Ghyran War Despot,5,31.2
Dominator Engine with Immolation Cannons,5,31.2
Daemonsmith,3,18.8
Anointed Sentinels,2,12.5
War Despot,1,6.2
Scourge of Ghyran Infernal Cohort with Hashutite Blades,1,6.2
Infernal Razers with Flamehurlers,1,6.2
