unit_name,model_count
Infernal Cohort with Hashutite Spears,330
Bull Centaurs,102
Infernal Cohort with Hashutite Blades,90
Hobgrotz Vandalz,70
Infernal Razers with Blunderbusses,50
Deathshrieker Rocket Battery,21
"Urak Taar, the First Daemonsmith",11
Ashen Elder,10
Scourge of Ghyran Infernal Cohort with Hashutite Blades,10
Tormentor Bombard,9
Dominator Engine with Bane Maces,9
Anointed Sentinels,9
Daemonsmith on Infernal Taurus,6
Scourge of Ghyran War Despot,5
Dominator Engine with Immolation Cannons,5
Daemonsmith,4
War Despot (Scourge of Ghyran),1
