unit_name,lists_with_unit,percent_of_lists
Deathshrieker Rocket Battery,13,92.9
Infernal Cohort with Hashutite Spears,12,85.7
"Urak Taar, the First Daemonsmith",11,78.6
Ashen Elder,10,71.4
Bull Centaurs,10,71.4
Tormentor Bombard,9,64.3
Dominator Engine with Bane Maces,7,50.0
Infernal Razers with Blunderbusses,5,35.7
Scourge of Ghyran War Despot,5,35.7
Infernal Cohort with Hashutite Blades,5,35.7
Daemonsmith on Infernal Taurus,5,35.7
Hobgrotz Vandalz,4,28.6
Daemonsmith,4,28.6
Dominator Engine with Immolation Cannons,3,21.4
Scourge of Ghyran Infernal Cohort with Hashutite Blades,1,7.1
Anointed Sentinels,1,7.1
War Despot (Scourge of Ghyran),1,7.1
