source,name,result,subfaction,manifestation_lore,unit_entries,models
Singles,Nani del caos - urak taar 1990/2000 pts,4-1,The Bullfather's Horns,Primal Energy,9,66
Singles,**38% win rate because bull centaurs are sold out 1990/2000 pts**,5-0,Industrial Polluters,Aetherwrought Machineries,10,52
Singles,"Hashut did nothing wrong, the Ancestor Gods clearly betrayed the wisest and most humble of their kind, and forced him to act 1950/2000 pts",4-1,Domination Force,Morbid Conjuration,9,28
Singles,"Built on slave labour, bad attitudes, and extremely aggressive project management.",4-1,Industrial Polluters,Forbidden Power,11,91
Singles,All your hats are belong to us 1960/2000 pts,4-1,Daemonsmith Cabal,Aetherwrought Machineries,9,71
Singles,Legion 1970/2000 pts,4-1,Taar's Grand Forgehost,Krondspine Incarnate,11,49
Singles,I am the Bullgod 2000/2000 pts,4-1,The Bullfather's Horns,Morbid Conjuration,7,36
Singles,FUCK ICE,4-1,Domination Force,Forbidden Power,9,66
Singles,**Best list Ever 2000/2000 pts**,5-0,Daemonsmith Cabal,Twilit Sorceries,9,28
Singles,ILLIMITED REND ===,5-0,Taar's Grand Forgehost,Forbidden Power,11,77
Singles,Midwest runs the best events. No other region compares. 1990/2000 pts,4-1,Daemonsmith Cabal,Aetherwrought Machineries,10,52
Singles,SHE HASHU ON MY ZARR UNTIL I ROCKET 2000/2000 pts,4-1,Taar's Grand Forgehost,Aetherwrought Machineries,12,105
Singles,**Love will Taurus apart 2000/2000 pts**,4-1,The Bullfather's Horns,Aetherwrought Machineries,9,104
Teams,HOH 1990/2000 pts,4-1,Industrial Polluters,Forbidden Power,11,72
Teams,Supositorios a distancia 2000/2000 pts,5-0,Taar's Grand Forgehost,Forbidden Power,13,49
Teams,AoR 2000/2000 pts,4-1,Taar's Grand Forgehost,Aetherwrought Machineries,12,59
Teams,Marc-Antoine 'Lucifel' Chapelle 163811038,4-1,Domination Force,Unknown,9,47
Teams,Espeto - polluters 2000/2000 pts,4-1,Industrial Polluters,Aetherwrought Machineries,11,72
Teams,**Supositorios a distancia 2000/2000 pts**,4-1,Taar's Grand Forgehost,Forbidden Power,13,49
Teams,Fendeur-de-cuvette - 96140247,4-1,Castigation Battery,Forbidden Power,9,90
Teams,Estampida en Talavera 2000/2000 pts,5-0,Ziggurat Stampede,Primal Energy,7,26
Teams,List 22,5-0,Domination Force,Aetherwrought Machineries,11,72
Teams,"Da ting go skkkkrrrraaa, papakakaka Skivipipopop and a poopooturrrboom Skrra, tutukukututoom, poompoom 2000/2000 pts",5-0,Industrial Polluters,Morbid Conjuration,10,52
Teams,Vivan los hashutmines!!! 2000/2000 pts,4-1,The Bullfather's Horns,Forbidden Power,9,34
Teams,Boom 1980/2000 pts,4-1,Castigation Battery,Forbidden Power,9,47
