unit_name,unit_entries
Infernal Cohort with Hashutite Spears,45
Deathshrieker Rocket Battery,41
Bull Centaurs,35
"Urak Taar, the First Daemonsmith",25
Ashen Elder,24
Tormentor Bombard,18
Dominator Engine with Bane Maces,18
Infernal Cohort with Hashutite Blades,18
Infernal Razers with Blunderbusses,15
Hobgrotz Vandalz,13
Dominator Engine with Immolation Cannons,13
Daemonsmith on Infernal Taurus,11
Scourge of Ghyran War Despot,10
Daemonsmith,7
Anointed Sentinels,4
Scourge of Ghyran Infernal Cohort with Hashutite Blades,2
War Despot,1
Infernal Razers with Flamehurlers,1
War Despot (Scourge of Ghyran),1
