unit_name,model_count
Infernal Cohort with Hashutite Spears,550
Infernal Razers with Blunderbusses,240
Infernal Cohort with Hashutite Blades,190
Bull Centaurs,180
Hobgrotz Vandalz,130
Deathshrieker Rocket Battery,35
Scourge of Ghyran Infernal Cohort with Hashutite Blades,30
"Urak Taar, the First Daemonsmith",21
Ashen Elder,20
Infernal Razers with Flamehurlers,20
Tormentor Bombard,15
Anointed Sentinels,15
Dominator Engine with Bane Maces,13
Dominator Engine with Immolation Cannons,11
Daemonsmith on Infernal Taurus,9
Scourge of Ghyran War Despot,8
Daemonsmith,6
War Despot,1
