unit_name,lists_with_unit,percent_of_lists
Deathshrieker Rocket Battery,22,88.0
"Urak Taar, the First Daemonsmith",21,84.0
Infernal Cohort with Hashutite Spears,20,80.0
Bull Centaurs,19,76.0
Ashen Elder,19,76.0
Tormentor Bombard,15,60.0
Dominator Engine with Bane Maces,10,40.0
Infernal Razers with Blunderbusses,10,40.0
Daemonsmith on Infernal Taurus,8,32.0
Infernal Cohort with Hashutite Blades,8,32.0
Scourge of Ghyran War Despot,8,32.0
Hobgrotz Vandalz,7,28.0
Dominator Engine with Immolation Cannons,7,28.0
Daemonsmith,6,24.0
Scourge of Ghyran Infernal Cohort with Hashutite Blades,2,8.0
Anointed Sentinels,2,8.0
War Despot,1,4.0
Infernal Razers with Flamehurlers,1,4.0
