unit_name,unit_entries
Infernal Cohort with Hashutite Spears,20
Deathshrieker Rocket Battery,17
Bull Centaurs,14
"Urak Taar, the First Daemonsmith",12
Ashen Elder,10
Tormentor Bombard,7
Dominator Engine with Bane Maces,6
Infernal Razers with Blunderbusses,6
Dominator Engine with Immolation Cannons,6
Hobgrotz Vandalz,4
Infernal Cohort with Hashutite Blades,4
Daemonsmith on Infernal Taurus,3
Scourge of Ghyran War Despot,3
Daemonsmith,2
War Despot,1
Scourge of Ghyran Infernal Cohort with Hashutite Blades,1
Infernal Razers with Flamehurlers,1
