unit_name,model_count
Infernal Cohort with Hashutite Spears,290
Infernal Razers with Blunderbusses,120
Bull Centaurs,84
Hobgrotz Vandalz,60
Infernal Cohort with Hashutite Blades,60
Scourge of Ghyran Infernal Cohort with Hashutite Blades,20
Infernal Razers with Flamehurlers,20
Deathshrieker Rocket Battery,17
"Urak Taar, the First Daemonsmith",12
Ashen Elder,10
Tormentor Bombard,7
Dominator Engine with Bane Maces,6
Dominator Engine with Immolation Cannons,6
Daemonsmith on Infernal Taurus,3
Scourge of Ghyran War Despot,3
Daemonsmith,2
War Despot,1
