unit_name,lists_with_unit,percent_of_lists
"Urak Taar, the First Daemonsmith",4,100.0
Infernal Cohort with Hashutite Spears,3,75.0
Deathshrieker Rocket Battery,3,75.0
Tormentor Bombard,3,75.0
Dominator Engine with Immolation Cannons,3,75.0
Ashen Elder,2,50.0
Daemonsmith,2,50.0
Scourge of Ghyran War Despot,2,50.0
Infernal Razers with Blunderbusses,2,50.0
Daemonsmith on Infernal Taurus,2,50.0
Bull Centaurs,2,50.0
Hobgrotz Vandalz,2,50.0
Dominator Engine with Bane Maces,1,25.0
Anointed Sentinels,1,25.0
