unit_name,model_count
Infernal Cohort with Hashutite Spears,260
Bull Centaurs,90
Infernal Cohort with Hashutite Blades,90
Infernal Razers with Blunderbusses,80
Hobgrotz Vandalz,60
Deathshrieker Rocket Battery,18
Scourge of Ghyran Infernal Cohort with Hashutite Blades,10
"Urak Taar, the First Daemonsmith",9
Ashen Elder,9
Anointed Sentinels,9
Tormentor Bombard,8
Dominator Engine with Bane Maces,7
Scourge of Ghyran War Despot,5
Dominator Engine with Immolation Cannons,5
Daemonsmith on Infernal Taurus,5
Daemonsmith,4
