unit_name,lists_with_unit,percent_of_lists
Deathshrieker Rocket Battery,11,91.7
Infernal Cohort with Hashutite Spears,10,83.3
Bull Centaurs,9,75.0
"Urak Taar, the First Daemonsmith",9,75.0
Ashen Elder,9,75.0
Tormentor Bombard,8,66.7
Dominator Engine with Bane Maces,6,50.0
Scourge of Ghyran War Despot,5,41.7
Infernal Cohort with Hashutite Blades,5,41.7
Infernal Razers with Blunderbusses,4,33.3
Daemonsmith,4,33.3
Daemonsmith on Infernal Taurus,4,33.3
Hobgrotz Vandalz,3,25.0
Dominator Engine with Immolation Cannons,3,25.0
Scourge of Ghyran Infernal Cohort with Hashutite Blades,1,8.3
Anointed Sentinels,1,8.3
