unit_name,unit_entries
Infernal Cohort with Hashutite Spears,36
Deathshrieker Rocket Battery,35
Bull Centaurs,31
"Urak Taar, the First Daemonsmith",21
Ashen Elder,19
Tormentor Bombard,15
Dominator Engine with Bane Maces,13
Infernal Cohort with Hashutite Blades,12
Dominator Engine with Immolation Cannons,11
Hobgrotz Vandalz,10
Infernal Razers with Blunderbusses,10
Daemonsmith on Infernal Taurus,8
Scourge of Ghyran War Despot,8
Daemonsmith,6
Scourge of Ghyran Infernal Cohort with Hashutite Blades,2
Anointed Sentinels,2
War Despot,1
Infernal Razers with Flamehurlers,1
