unit_name,model_count
Infernal Cohort with Hashutite Spears,550
Infernal Razers with Blunderbusses,200
Bull Centaurs,174
Infernal Cohort with Hashutite Blades,150
Hobgrotz Vandalz,120
Deathshrieker Rocket Battery,35
Scourge of Ghyran Infernal Cohort with Hashutite Blades,30
"Urak Taar, the First Daemonsmith",21
Infernal Razers with Flamehurlers,20
Ashen Elder,19
Tormentor Bombard,15
Dominator Engine with Bane Maces,13
Dominator Engine with Immolation Cannons,11
Anointed Sentinels,9
Daemonsmith on Infernal Taurus,8
Scourge of Ghyran War Despot,8
Daemonsmith,6
War Despot,1
