unit_name,lists_with_unit,percent_of_lists
Deathshrieker Rocket Battery,22,91.7
"Urak Taar, the First Daemonsmith",21,87.5
Infernal Cohort with Hashutite Spears,20,83.3
Ashen Elder,18,75.0
Bull Centaurs,18,75.0
Tormentor Bombard,15,62.5
Dominator Engine with Bane Maces,10,41.7
Infernal Razers with Blunderbusses,9,37.5
Scourge of Ghyran War Despot,8,33.3
Daemonsmith on Infernal Taurus,7,29.2
Infernal Cohort with Hashutite Blades,7,29.2
Dominator Engine with Immolation Cannons,7,29.2
Hobgrotz Vandalz,6,25.0
Daemonsmith,6,25.0
Scourge of Ghyran Infernal Cohort with Hashutite Blades,2,8.3
War Despot,1,4.2
Infernal Razers with Flamehurlers,1,4.2
Anointed Sentinels,1,4.2
